|normal|withouturl|no_clean|url_clean
504|Don't let climate change deniers jeopardize the progress we've made toward a safer, healthier future. Call them out: http:// ofa.bo/d5ue|Don't let climate change deniers jeopardize the progress we've made toward a safer, healthier future. Call them out: http://  |5.683999999999999|5.683999999999999
505|Fighting climate change will save Americans money at the gas pump. #ActOnClimate pic.twitter.com/ePl93jLYTU|Fighting climate change will save Americans money at the gas pump. #ActOnClimate  |5.732499999999999|5.732499999999999
506|Add your name if you support global efforts to tackle climate change: http:// ofa.bo/fA8b|Add your name if you support global efforts to tackle climate change: http://  |5.6|5.6
507|Watch Professor Obama take obstructionists in the Senate back to school with #SCOTUS 101. #DoYourJob http://www. snappytv.com/tc/1804682|Watch Professor Obama take obstructionists in the Senate back to school with #SCOTUS 101. #DoYourJob  .  |5.3999999999999995|5.3999999999999995
508|For the health of our children and grandchildren, we have to #ActOnClimate . pic.twitter.com/pJz7ODyr3p|For the health of our children and grandchildren, we have to #ActOnClimate .  |5.860000000000001|5.860000000000001
509|The Senate should uphold its constitutional duty and give Judge Garland a fair hearing. Add your name if you agree: http:// ofa.bo/vQn|The Senate should uphold its constitutional duty and give Judge Garland a fair hearing. Add your name if you agree: http://  |5.579999999999999|5.579999999999999
510|Watch: Professor Obama has a #SCOTUS lesson for obstructionists in the Senate. #DoYourJob http:// ofa.bo/hAFb|Watch: Professor Obama has a #SCOTUS lesson for obstructionists in the Senate. #DoYourJob http://  |5.236666666666666|5.236666666666666
511|"""Not to let the Constitution function is totally irresponsible and it's never happened like this before.""   @VP https:// amp.twimg.com/v/2fa50a48-ce9 1-4811-8f56-5dd3b78bc8a1  "|"""Not to let the Constitution function is totally irresponsible and it's never happened like this before.""   @VP https://   1-4811-8f56-5dd3b78bc8a1  "|5.239999999999999|5.239999999999999
512|Don't let climate change deniers derail progress show your support for bold action on climate change: http:// ofa.bo/uQC #ActOnClimate|Don't let climate change deniers derail progress show your support for bold action on climate change: http://   #ActOnClimate|5.7|5.875
513|The fight to tackle climate change took a big step on Friday with hundreds of countries signing the #ParisAgreement . pic.twitter.com/gk7BWRRBqA|The fight to tackle climate change took a big step on Friday with hundreds of countries signing the #ParisAgreement .  |5.275|5.275
514|ICYMI: The U.S. and more than 170 other nations just signed the #ParisAgreement  the first ever global climate deal. http:// ofa.bo/xPs|ICYMI: The U.S. and more than 170 other nations just signed the #ParisAgreement  the first ever global climate deal. http://  |5.6450000000000005|5.593846153846155
515|We all play a part in helping to stop gun violence. Do your part  #WearOrange on June 2. https:// amp.twimg.com/v/43b27caf-351 6-43d6-9a0e-93c956048e13  |We all play a part in helping to stop gun violence. Do your part  #WearOrange on June 2. https://   6-43d6-9a0e-93c956048e13  |5.385454545454546|5.351666666666667
516|We're already seeing the effects of climate change. Denial is unacceptable. #ActOnClimate pic.twitter.com/k3sphu7KgC|We're already seeing the effects of climate change. Denial is unacceptable. #ActOnClimate  |5.437142857142858|5.437142857142858
517|Show your support for bold moves to combat climate change add your name: http:// ofa.bo/yRP #ActOnClimate|Show your support for bold moves to combat climate change add your name: http://   #ActOnClimate|5.3533333333333335|5.421818181818182
