Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1122636748167598081	@TroyDConrad	2019-04-29 04:30:33	@ GretaThunberg THANK YOU for having the maturity, courage and bravery to do what many of us adults have been unwilling or unable to do, and propose real solutions to climate change appropriate to the scale of the problem. Your efforts are inspiring and motivating millions.	0	Tweet
1122626347681992704	@musthavehumour	2019-04-29 03:49:13	It is great to see a leader understanding the life-saving need for our focused attention on Climate Change, but look closely at what they are doing to make sure it is not just rhetoric. In Canada under the Liberals the government's real actions are a farce, all window dressing.	0	Tweet
1122618346913042433	@waltersboy_	2019-04-29 03:17:25	I wonder what her next group to support will be in the chase for votes Catholic’s , terrorists , climate change , Muslims , Eu people . All promises no action or unable to deliver legally	0	Tweet
1122614093519708160	@WhaleyDavid	2019-04-29 03:00:31	He said zero emissions by 2050.extinction rebellion said 6 years. This campaign is nothing to do with climate change. Its left wing politics	0	Tweet
1122613918441058312	@TheAAObserver	2019-04-29 02:59:49	If ppl running across the southern border in droves is not an emergency, the imperceptible "climate change" theory certainly is not. # DefeatDemCrow	0	Tweet
1122613266067460102	@Nico_bt23	2019-04-29 02:57:14	Great job Greta. Thank you! It is only the beginning. We must Get much more people To understand and fight climate change!	0	Tweet
1122607024645316609	@LevinssonTim	2019-04-29 02:32:26	There is hope Greta there is hope, although it may not be noticed, there is always and this is a sign that man has a chance against climate change.	0	Tweet
1122601533475102722	@DavidMichaelRi8	2019-04-29 02:10:37	Better 50+ years too late than never. :-( On another note, I feel rancor when I see politicians rushing to get their pictures taken with @ GretaThunberg after which they DO NOTHING about human-caused climate change. Words of approval are worthless: only attion will solve crisis.	0	Tweet
1122590111399579648	@gturner1969	2019-04-29 01:25:13	Greta you are doing a fantastic job in raising awareness. But please do not trust @ jeremycorbyn he is a shrill and a hypocrite. Especially in regards to Scotland. He's spokesman of CND and yet votes to retain trident. Liebour voted against climate change bill in Scotland.	1	Tweet
1122580999400038400	@canadian_cousin	2019-04-29 00:49:01	I feel that Scotland has a right to independence. As they lead Gr Britain through climate change solutions, they also lead in common sense.	0	Tweet
